corrida_id_corrida,circuito_id_circuito,ano_corrida,rodada_corrida,nome_corrida,data_corrida,circuito_ref_circuito,nome_circuito,localizacao_circuito,pais_circuito,latitude_circuito,longitude_circuito,altitude_circuito
337,3,2010,1,Bahrain Grand Prix,03/14/2010,bahrain,Bahrain International Circuit,Sakhir,Bahrain,260325.0,505106.0,7.0
338,1,2010,2,Australian Grand Prix,03/28/2010,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-378497.0,144968.0,10.0
339,2,2010,3,Malaysian Grand Prix,04/04/2010,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,276083.0,101738.0,18.0
340,17,2010,4,Chinese Grand Prix,04/18/2010,shanghai,Shanghai International Circuit,Shanghai,China,313389.0,121.22,5.0
341,4,2010,5,Spanish Grand Prix,05/09/2010,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
342,6,2010,6,Monaco Grand Prix,05/16/2010,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
343,5,2010,7,Turkish Grand Prix,05/30/2010,istanbul,Istanbul Park,Istanbul,Turkey,409517.0,29405.0,130.0
344,7,2010,8,Canadian Grand Prix,06/13/2010,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
345,12,2010,9,European Grand Prix,06/27/2010,valencia,Valencia Street Circuit,Valencia,Spain,394589.0,-0.331667,4.0
346,9,2010,10,British Grand Prix,07/11/2010,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
347,10,2010,11,German Grand Prix,07/25/2010,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
348,11,2010,12,Hungarian Grand Prix,08/01/2010,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
349,13,2010,13,Belgian Grand Prix,08/29/2010,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
350,14,2010,14,Italian Grand Prix,09/12/2010,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
351,15,2010,15,Singapore Grand Prix,09/26/2010,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,12914.0,103864.0,18.0
352,22,2010,16,Japanese Grand Prix,10/10/2010,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
353,35,2010,17,Korean Grand Prix,10/24/2010,yeongam,Korean International Circuit,Yeongam County,Korea,347333.0,126417.0,0.0
354,18,2010,18,Brazilian Grand Prix,11/07/2010,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
355,24,2010,19,Abu Dhabi Grand Prix,11/14/2010,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,244672.0,546031.0,3.0
356,36,1989,1,Brazilian Grand Prix,03/26/1989,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-229756.0,-43395.0,1126.0
357,21,1989,2,San Marino Grand Prix,04/23/1989,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
358,6,1989,3,Monaco Grand Prix,05/07/1989,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
