corrida_id_corrida,circuito_id_circuito,ano_corrida,rodada_corrida,nome_corrida,data_corrida,circuito_ref_circuito,nome_circuito,localizacao_circuito,pais_circuito,latitude_circuito,longitude_circuito,altitude_circuito
191,1,1998,1,Australian Grand Prix,03/08/1998,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-378497.0,144968.0,10.0
192,18,1998,2,Brazilian Grand Prix,03/29/1998,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
193,25,1998,3,Argentine Grand Prix,04/12/1998,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-346943.0,-584593.0,8.0
194,21,1998,4,San Marino Grand Prix,04/26/1998,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
195,4,1998,5,Spanish Grand Prix,05/10/1998,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
196,6,1998,6,Monaco Grand Prix,05/24/1998,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
197,7,1998,7,Canadian Grand Prix,06/07/1998,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
198,8,1998,8,French Grand Prix,06/28/1998,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
199,9,1998,9,British Grand Prix,07/12/1998,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
200,70,1998,10,Austrian Grand Prix,07/26/1998,red_bull_ring,Red Bull Ring,Spielberg,Austria,472197.0,147647.0,678.0
201,10,1998,11,German Grand Prix,08/02/1998,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
202,11,1998,12,Hungarian Grand Prix,08/16/1998,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
203,13,1998,13,Belgian Grand Prix,08/30/1998,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
204,14,1998,14,Italian Grand Prix,09/13/1998,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
205,20,1998,15,Luxembourg Grand Prix,09/27/1998,nurburgring,Nürburgring,Nürburg,Germany,503356.0,69475.0,578.0
206,22,1998,16,Japanese Grand Prix,11/01/1998,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
207,1,1997,1,Australian Grand Prix,03/09/1997,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-378497.0,144968.0,10.0
208,18,1997,2,Brazilian Grand Prix,03/30/1997,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
209,25,1997,3,Argentine Grand Prix,04/13/1997,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-346943.0,-584593.0,8.0
210,21,1997,4,San Marino Grand Prix,04/27/1997,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
